Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
197, 30000, 916, 4792, 3
198, 30000, 919, 4792, 3
199, 29900, 918, 4792, 3
200, 29900, 916, 4792, 3
201, 29900, 919, 4792, 3
202, 30000, 919, 4792, 3
203, 29900, 916, 4792, 3
204, 30000, 916, 4792, 3
205, 30000, 916, 4788, 2
206, 30000, 919, 4792, 2
207, 30000, 916, 4792, 3
208, 30000, 919, 4792, 2
209, 29900, 916, 4788, 3
210, 30000, 918, 4788, 2
211, 30000, 916, 4792, 2
212, 30000, 916, 4792, 3
213, 30000, 919, 4792, 2
214, 30000, 919, 4792, 3
215, 30000, 919, 4792, 3
216, 30000, 919, 4788, 3
217, 30000, 916, 4792, 3
218, 29900, 919, 4792, 3
219, 30000, 919, 4792, 3
220, 29900, 919, 4788, 2
221, 30000, 916, 4792, 3
222, 29900, 918, 4788, 3
223, 30000, 919, 4792, 2
224, 29900, 919, 4792, 3
225, 30000, 916, 4792, 3
226, 29900, 918, 4788, 3
227, 30000, 916, 4788, 2
228, 30000, 919, 4792, 3
229, 30000, 919, 4792, 3
230, 30000, 919, 4788, 3
231, 30000, 918, 4792, 2
232, 30000, 916, 4792, 3
233, 30000, 919, 4788, 3
234, 30000, 919, 4792, 3
235, 29900, 919, 4792, 3
236, 30000, 918, 4792, 3
237, 29900, 916, 4792, 2
238, 30000, 919, 4792, 3
239, 29900, 916, 4788, 3
240, 30000, 916, 4792, 2
241, 30000, 919, 4792, 3
242, 30000, 916, 4792, 2
243, 30000, 919, 4792, 2
244, 30000, 919, 4792, 2
245, 29900, 916, 4792, 3
246, 30000, 919, 4792, 2
247, 30000, 919, 4788, 3
248, 30000, 916, 4792, 3
249, 30000, 919, 4792, 3
250, 30000, 919, 4792, 2
251, 30000, 919, 4792, 3
252, 30000, 918, 4792, 2
253, 29900, 918, 4788, 2
254, 30000, 919, 4792, 3
255, 30000, 916, 4792, 3
256, 29900, 919, 4792, 2
257, 29900, 916, 4788, 3
258, 29900, 916, 4792, 3
259, 30000, 919, 4792, 3
260, 30000, 916, 4788, 3
261, 29900, 916, 4788, 2
262, 29900, 916, 4788, 2
263, 29900, 919, 4788, 2
264, 29900, 918, 4788, 2
265, 29900, 916, 4792, 3
266, 29900, 916, 4792, 3
267, 30000, 916, 4792, 2
268, 29900, 916, 4788, 2
269, 29900, 916, 4792, 3
270, 30000, 916, 4792, 2
271, 29900, 919, 4788, 2
272, 29900, 916, 4792, 2
273, 29900, 916, 4788, 3
274, 29900, 916, 4792, 2
275, 29900, 919, 4792, 2
276, 29900, 916, 4788, 3
277, 29900, 919, 4788, 2
278, 30000, 918, 4788, 3
279, 30000, 919, 4792, 3
280, 29900, 916, 4792, 3
281, 30000, 916, 4788, 3
282, 29900, 919, 4788, 2
283, 29900, 919, 4792, 2
284, 30000, 916, 4788, 3
285, 30000, 919, 4792, 2
286, 29900, 916, 4792, 3
287, 29900, 919, 4792, 3
288, 30000, 919, 4792, 2
289, 30000, 918, 4788, 2
290, 30000, 918, 4792, 2
291, 30000, 919, 4792, 3
292, 29900, 916, 4788, 2
293, 29900, 916, 4792, 2
294, 30000, 916, 4792, 3
295, 29900, 916, 4792, 2
296, 29900, 918, 4792, 2
297, 29900, 918, 4788, 3
298, 29900, 916, 4788, 2
299, 30000, 916, 4792, 3
300, 29900, 918, 4788, 2
301, 30000, 919, 4788, 3
302, 30000, 916, 4792, 2
303, 30000, 919, 4792, 3
304, 29900, 916, 4792, 3
305, 30000, 919, 4788, 2
306, 30000, 919, 4792, 3
307, 29900, 918, 4792, 2
308, 29900, 919, 4792, 3
309, 29900, 919, 4792, 3
310, 30000, 919, 4792, 2
311, 30000, 919, 4792, 3
312, 29900, 916, 4792, 3
313, 29900, 918, 4792, 3
314, 29900, 916, 4792, 2
315, 30000, 916, 4792, 3
316, 30000, 916, 4792, 3
317, 29900, 916, 4788, 2
318, 29900, 918, 4788, 3
319, 30000, 916, 4792, 3
320, 29900, 919, 4792, 3
321, 29900, 916, 4788, 3
322, 29900, 919, 4792, 2
323, 30000, 918, 4792, 3
324, 29900, 916, 4788, 3
325, 29900, 919, 4788, 2
326, 30000, 919, 4792, 3
327, 29900, 919, 4788, 3
328, 30000, 919, 4792, 2
329, 30000, 919, 4792, 3
330, 29900, 916, 4792, 3
331, 29900, 919, 4792, 2
332, 30000, 919, 4792, 3
333, 29900, 919, 4792, 3
334, 30000, 916, 4788, 2
335, 29900, 919, 4792, 2
336, 29900, 919, 4792, 2
337, 29900, 919, 4792, 3
338, 30000, 916, 4792, 3
339, 29900, 916, 4792, 2
340, 29900, 919, 4792, 3
341, 29900, 916, 4792, 3
342, 29900, 916, 4788, 3
343, 29900, 919, 4788, 2
344, 29900, 916, 4792, 2
345, 29900, 916, 4792, 2
346, 30000, 916, 4788, 2
347, 30000, 918, 4788, 2
348, 29900, 919, 4792, 3
349, 29900, 919, 4792, 2
350, 29900, 916, 4792, 3
351, 30000, 916, 4792, 3
352, 29900, 916, 4792, 2
353, 29900, 916, 4788, 2
354, 30000, 916, 4792, 2
355, 30000, 919, 4788, 3
356, 29900, 916, 4792, 2
357, 29900, 919, 4788, 2
358, 29900, 919, 4792, 3
359, 29900, 916, 4788, 2
360, 29900, 916, 4788, 3
361, 30000, 916, 4792, 2
362, 29900, 918, 4788, 2
363, 29900, 919, 4788, 2
364, 29900, 916, 4792, 2
365, 29900, 916, 4792, 2
366, 29900, 916, 4788, 2
367, 29900, 916, 4788, 3
368, 30000, 919, 4788, 2
369, 29900, 916, 4792, 2
370, 29900, 916, 4792, 3
371, 29900, 916, 4792, 3
372, 29900, 916, 4788, 2
373, 30000, 919, 4792, 2
374, 29900, 916, 4792, 3
375, 30000, 916, 4792, 2
376, 30000, 916, 4788, 2
377, 29900, 916, 4792, 2
378, 30000, 916, 4792, 2
379, 30000, 916, 4792, 3
380, 29900, 916, 4788, 2
381, 30000, 919, 4792, 2
382, 29900, 916, 4792, 3
383, 29900, 919, 4792, 2
384, 29900, 916, 4788, 2
385, 29900, 919, 4792, 3
386, 29900, 916, 4788, 3
387, 30000, 919, 4792, 2
388, 30000, 916, 4792, 2
389, 29900, 916, 4788, 2
390, 30000, 919, 4792, 2
391, 30000, 916, 4788, 2
392, 30000, 916, 4792, 2
393, 29900, 916, 4792, 2
394, 30000, 916, 4792, 3
395, 29900, 916, 4792, 2
396, 30000, 916, 4792, 2
397, 29900, 919, 4792, 2
398, 29900, 916, 4792, 2
399, 29900, 916, 4788, 2
400, 29900, 919, 4792, 2
401, 30000, 916, 4792, 3
402, 30000, 916, 4788, 2
403, 30000, 916, 4792, 2
404, 29900, 916, 4788, 2
405, 30000, 916, 4788, 2
406, 29900, 916, 4792, 2
407, 30000, 916, 4792, 3
408, 29900, 916, 4792, 2
409, 29900, 916, 4788, 2
410, 30000, 919, 4792, 3
411, 30000, 918, 4792, 2
412, 29900, 916, 4792, 2
413, 29900, 918, 4788, 2
414, 29900, 916, 4788, 2
415, 29900, 919, 4792, 2
416, 29900, 916, 4792, 2
417, 29900, 916, 4792, 2
418, 29900, 919, 4788, 2
419, 29900, 919, 4792, 3
420, 30000, 916, 4792, 3
421, 29900, 919, 4792, 2
422, 29900, 916, 4788, 2
423, 29900, 916, 4792, 2
424, 30000, 918, 4792, 2
425, 29900, 916, 4788, 2
426, 30000, 916, 4792, 3
427, 29900, 919, 4792, 3
428, 29900, 916, 4792, 2
429, 30000, 918, 4792, 2
430, 30000, 918, 4788, 3
431, 30000, 916, 4788, 2
432, 30000, 916, 4792, 3
433, 29900, 916, 4792, 2
434, 29900, 919, 4792, 2
435, 29900, 919, 4792, 3
436, 30000, 919, 4792, 3
437, 29900, 916, 4792, 3
438, 29900, 919, 4792, 2
439, 29900, 916, 4792, 3
440, 29900, 916, 4788, 2
441, 30000, 916, 4792, 3
442, 29900, 916, 4788, 3
443, 30000, 919, 4792, 3
444, 29900, 916, 4792, 2
445, 29900, 916, 4792, 3
446, 30000, 916, 4792, 3
447, 30000, 916, 4792, 2
448, 29900, 916, 4792, 2
449, 29900, 916, 4792, 2
450, 30000, 916, 4788, 2
451, 29900, 919, 4792, 2
452, 30000, 919, 4792, 3
453, 30000, 919, 4792, 2
454, 30000, 919, 4792, 3
455, 30000, 916, 4792, 2
456, 29900, 916, 4792, 2
457, 29900, 916, 4792, 3
458, 30000, 916, 4792, 2
459, 29900, 916, 4792, 2
460, 29900, 919, 4792, 2
461, 30000, 916, 4792, 3
462, 29900, 918, 4788, 2
463, 29900, 919, 4792, 3
464, 29900, 919, 4788, 3
465, 30000, 919, 4792, 3
466, 29900, 916, 4792, 2
