Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
197, 25500, 809, 4804, 2
198, 25400, 809, 4800, 2
199, 25400, 809, 4804, 2
200, 25400, 809, 4804, 2
201, 25500, 809, 4800, 2
202, 25400, 809, 4804, 2
203, 25400, 809, 4804, 2
204, 25400, 813, 4804, 2
205, 25400, 809, 4804, 2
206, 25400, 809, 4804, 2
207, 25400, 809, 4804, 2
208, 25400, 809, 4804, 2
209, 25400, 809, 4800, 2
210, 25400, 809, 4800, 2
211, 25400, 809, 4804, 2
212, 25400, 809, 4800, 2
213, 25400, 809, 4804, 2
214, 25400, 809, 4800, 2
215, 25400, 809, 4800, 2
216, 25400, 809, 4800, 2
217, 25400, 809, 4804, 2
218, 25400, 809, 4800, 2
219, 25400, 809, 4804, 2
220, 25400, 809, 4804, 2
221, 25400, 808, 4804, 2
222, 25400, 809, 4804, 2
223, 25400, 809, 4800, 2
224, 25400, 809, 4800, 2
225, 25400, 809, 4800, 2
226, 25400, 809, 4800, 2
227, 25400, 809, 4804, 2
228, 25400, 809, 4804, 2
229, 25400, 809, 4804, 2
230, 25400, 808, 4804, 2
231, 25400, 809, 4800, 2
232, 25400, 809, 4804, 2
233, 25400, 809, 4804, 2
234, 25400, 808, 4800, 2
235, 25400, 809, 4804, 2
236, 25400, 809, 4800, 2
237, 25400, 809, 4800, 2
238, 25400, 809, 4804, 2
239, 25400, 809, 4800, 2
240, 25400, 809, 4800, 2
241, 25300, 809, 4804, 2
242, 25400, 809, 4804, 2
243, 25400, 809, 4800, 2
244, 25400, 809, 4804, 2
245, 25400, 809, 4800, 2
246, 25400, 808, 4804, 2
247, 25300, 808, 4800, 2
248, 25400, 809, 4800, 2
249, 25400, 809, 4804, 2
250, 25400, 809, 4804, 2
251, 25400, 809, 4800, 2
252, 25300, 808, 4800, 2
253, 25300, 809, 4804, 2
254, 25400, 809, 4804, 2
255, 25300, 808, 4804, 2
256, 25300, 809, 4800, 2
257, 25400, 813, 4800, 2
258, 25400, 809, 4804, 2
259, 25400, 808, 4800, 2
260, 25400, 808, 4804, 2
261, 25300, 809, 4804, 2
262, 25400, 809, 4804, 2
263, 25400, 808, 4800, 2
264, 25300, 809, 4800, 2
265, 25400, 809, 4800, 2
266, 25400, 808, 4804, 2
267, 25300, 809, 4800, 2
268, 25300, 809, 4804, 2
269, 25300, 808, 4800, 2
270, 25300, 809, 4804, 2
271, 25400, 809, 4804, 2
272, 25400, 809, 4804, 2
273, 25300, 809, 4804, 2
274, 25400, 808, 4804, 2
275, 25400, 809, 4804, 2
276, 25300, 809, 4800, 2
277, 25300, 808, 4804, 2
278, 25400, 808, 4804, 2
279, 25400, 808, 4800, 2
280, 25400, 808, 4800, 2
281, 25300, 809, 4804, 2
282, 25400, 808, 4804, 2
283, 25400, 808, 4804, 2
284, 25300, 808, 4800, 2
285, 25400, 809, 4804, 2
286, 25300, 809, 4800, 2
287, 25400, 808, 4804, 2
288, 25300, 808, 4804, 2
289, 25400, 808, 4804, 2
290, 25300, 808, 4804, 2
291, 25300, 809, 4800, 2
292, 25300, 808, 4800, 2
293, 25300, 808, 4800, 2
294, 25300, 808, 4800, 2
295, 25300, 809, 4804, 2
296, 25400, 808, 4800, 2
297, 25300, 808, 4804, 2
298, 25400, 809, 4800, 2
299, 25400, 809, 4800, 2
300, 25300, 808, 4804, 2
301, 25300, 808, 4804, 2
302, 25300, 808, 4804, 2
303, 25300, 808, 4804, 2
304, 25300, 808, 4800, 2
305, 25300, 808, 4800, 2
306, 25300, 808, 4800, 2
307, 25400, 808, 4800, 2
308, 25300, 808, 4804, 2
309, 25300, 808, 4804, 2
310, 25300, 808, 4804, 2
311, 25300, 809, 4800, 2
312, 25300, 808, 4804, 2
313, 25300, 808, 4804, 2
314, 25300, 808, 4800, 2
315, 25300, 808, 4800, 2
316, 25300, 808, 4804, 2
317, 25400, 808, 4804, 2
318, 25300, 808, 4804, 2
319, 25300, 808, 4804, 2
320, 25300, 808, 4800, 2
321, 25300, 808, 4800, 2
322, 25300, 808, 4800, 2
323, 25300, 808, 4800, 2
324, 25300, 808, 4804, 2
325, 25300, 808, 4804, 2
326, 25300, 808, 4800, 2
327, 25300, 808, 4800, 2
328, 25300, 808, 4804, 2
329, 25300, 808, 4804, 2
330, 25300, 808, 4800, 2
331, 25300, 808, 4804, 2
332, 25300, 809, 4804, 2
333, 25300, 808, 4804, 2
334, 25300, 808, 4804, 2
335, 25300, 808, 4804, 2
336, 25300, 808, 4800, 2
337, 25300, 808, 4804, 2
338, 25300, 809, 4804, 2
339, 25300, 808, 4800, 2
340, 25300, 808, 4804, 2
341, 25400, 809, 4804, 2
342, 25300, 808, 4804, 2
343, 25300, 809, 4804, 2
344, 25300, 808, 4800, 2
345, 25300, 808, 4804, 2
346, 25300, 808, 4804, 2
347, 25300, 808, 4800, 2
348, 25200, 808, 4800, 2
349, 25400, 809, 4804, 2
350, 25300, 809, 4800, 2
351, 25400, 809, 4804, 2
352, 25400, 808, 4804, 2
353, 25400, 808, 4800, 2
354, 25300, 809, 4800, 2
355, 25300, 809, 4800, 2
356, 25300, 809, 4804, 2
357, 25300, 808, 4804, 2
358, 25300, 809, 4804, 2
359, 25300, 809, 4804, 2
360, 25400, 808, 4804, 2
361, 25300, 809, 4800, 2
362, 25300, 809, 4804, 2
363, 25400, 809, 4804, 2
364, 25200, 805, 4800, 2
365, 25300, 805, 4804, 2
366, 25200, 805, 4804, 2
367, 25200, 805, 4804, 2
368, 25200, 805, 4800, 2
369, 25300, 808, 4800, 2
370, 25300, 805, 4804, 2
371, 25100, 805, 4804, 2
372, 25200, 805, 4804, 2
373, 25200, 808, 4804, 2
374, 25300, 805, 4800, 2
375, 25300, 805, 4804, 2
376, 25200, 808, 4800, 2
377, 25300, 805, 4804, 2
378, 25200, 808, 4800, 2
379, 25200, 805, 4800, 2
380, 25200, 805, 4804, 2
381, 25200, 805, 4804, 2
382, 25200, 808, 4804, 2
383, 25200, 805, 4804, 2
384, 25200, 808, 4804, 2
385, 25200, 805, 4800, 2
386, 25200, 805, 4800, 2
387, 25200, 805, 4804, 2
388, 25300, 805, 4804, 2
389, 25200, 805, 4800, 2
390, 25200, 805, 4804, 2
391, 25200, 805, 4804, 2
392, 25200, 805, 4804, 2
393, 25200, 803, 4800, 2
394, 25200, 805, 4804, 2
395, 25200, 805, 4804, 2
396, 25100, 805, 4804, 2
397, 25200, 803, 4804, 2
398, 25200, 803, 4800, 2
399, 25200, 805, 4804, 2
400, 25200, 803, 4804, 2
401, 25100, 805, 4804, 2
402, 25100, 803, 4800, 2
403, 25200, 803, 4804, 2
404, 25100, 803, 4804, 2
405, 25100, 801, 4804, 2
406, 25100, 803, 4800, 2
407, 25100, 801, 4804, 2
408, 25000, 801, 4804, 2
409, 25000, 801, 4804, 2
410, 25000, 798, 4804, 2
411, 24800, 795, 4804, 2
412, 24600, 788, 4804, 2
413, 24600, 793, 4800, 2
414, 24600, 791, 4804, 2
415, 24400, 788, 4800, 2
416, 24300, 782, 4808, 2
417, 22500, 760, 4808, 2
418, 23600, 770, 4808, 2
419, 24700, 793, 4804, 2
420, 24800, 793, 4800, 2
421, 24400, 787, 4804, 2
422, 24500, 788, 4804, 2
423, 24500, 788, 4800, 2
424, 24200, 785, 4804, 2
425, 24200, 778, 4804, 2
426, 24400, 787, 4804, 2
427, 24100, 780, 4804, 2
428, 24100, 780, 4804, 2
429, 24100, 778, 4804, 2
430, 24800, 796, 4804, 2
431, 24800, 801, 4804, 2
432, 25000, 803, 4804, 2
433, 24200, 782, 4804, 2
434, 24300, 782, 4804, 2
435, 24900, 798, 4804, 2
436, 24800, 796, 4804, 2
437, 24800, 798, 4804, 2
438, 25000, 798, 4804, 2
439, 24800, 796, 4804, 2
440, 24800, 795, 4804, 2
441, 24800, 796, 4804, 2
442, 24800, 796, 4804, 2
443, 24800, 796, 4804, 2
444, 24800, 793, 4804, 2
445, 24800, 793, 4804, 2
446, 24600, 787, 4804, 2
447, 24800, 793, 4804, 2
448, 24200, 782, 4804, 2
449, 24400, 787, 4804, 2
450, 24200, 782, 4804, 2
451, 24700, 793, 4804, 2
452, 24600, 788, 4804, 2
453, 24200, 782, 4804, 2
454, 24700, 793, 4804, 2
455, 24200, 787, 4804, 2
456, 24200, 782, 4804, 2
457, 24800, 795, 4804, 2
458, 24800, 796, 4804, 2
459, 24800, 796, 4804, 2
460, 24800, 796, 4804, 2
461, 25000, 798, 4804, 2
462, 24900, 798, 4804, 2
463, 24800, 796, 4804, 2
464, 24700, 793, 4804, 2
465, 24600, 793, 4804, 2
466, 24600, 793, 4804, 2
467, 24200, 782, 4804, 2
468, 24600, 788, 4804, 2
469, 24400, 787, 4804, 2
470, 24400, 787, 4800, 2
471, 24700, 791, 4804, 2
472, 24500, 791, 4804, 2
473, 24600, 788, 4804, 2
474, 24200, 782, 4808, 2
475, 24600, 778, 4804, 2
476, 24100, 782, 4804, 2
477, 24100, 782, 4808, 2
478, 24000, 783, 4808, 2
479, 23900, 793, 4804, 2
480, 23900, 773, 4804, 2
481, 22900, 746, 4808, 2
482, 23300, 765, 4808, 2
483, 23600, 767, 4808, 2
484, 25700, 816, 4800, 2
485, 25700, 818, 4804, 2
486, 25700, 816, 4800, 2
487, 25500, 813, 4800, 2
